labID,"		age","	error","	depth",Method,cc
Surface,-63,5,0,210Pb,None
D-AMS 003738,1.1618,0.0034,7,14C,NH Zone3
D-AMS 003739,1001,25,47,14C,IntCal13
D-AMS 003740,1829,29,97,14C,IntCal13
D-AMS 003741,2032,41,137,14C,IntCal13
D-AMS 003743,1909,31,327,14C,IntCal13
D-AMS 006684,1691,43,367,14C,IntCal13
D-AMS 003744,5230,39,427,14C,IntCal13
D-AMS 003745,2800,33,527,14C,IntCal13
