labID,"		age","	error","	depth",Method,Calibration curve
UCI-37537,6420,20,262,14C,IntCal13
UCI-37511,8850,20,326,14C,IntCal13
UCI-37538,10180,25,372,14C,IntCal13
UCI-37539,11060,30,406,14C,IntCal13
UCI-37540,11880,35,425,14C,IntCal13
UCI-37623,12430,80,446,14C,IntCal13
