labID,"		age","	error","	depth",Method,Calibration curve
surface,-62,1,0,210Pb,None
P852,-56,6,1,210Pb,None
P853,-46,4,2.5,210Pb,None
P854,-40,4,3.5,210Pb,None
P855,-17,7,6.5,210Pb,None
P856,18,10,9.5,210Pb,None
AMS6681,2726,28,24,14C,SHCal13
AMS6682,4487,39,35,14C,SHCal13
