labID,age,error,depth,cc
Surface,-63,5,0,0
D-AMS 003738,-10,10,7,1
D-AMS 003739,1001,25,47,1
D-AMS 003740,1829,29,97,1
D-AMS 003741,2032,41,137,1
D-AMS 003743,1909,31,327,1
D-AMS 006684,1691,43,367,1
D-AMS 003744,5230,39,427,1
D-AMS 003745,2800,33,527,1
